year,jurisdiction,jurisdiction_name,complaints,inquiries
2010,ME,Maine,987,9319
2010,MI,Michigan,4660,6177
2010,MN,Minnesota,2392,32395
2010,MO,Missouri,4125,23484
2010,MS,Mississippi,1249,13344
2010,MT,Montana,1545,206
2010,NC,North Carolina,8673,87442
2010,ND,North Dakota,235,23613
2010,NE,Nebraska,1600,10000
2010,NH,New Hampshire,1154,8283
2010,NJ,New Jersey,7232,37323
2010,NM,New Mexico,666,4498
2010,NV,Nevada,2073,29084
2010,NY,New York,52855,10494
2010,OH,Ohio,5152,134414
2010,OK,Oklahoma,5037,36000
2010,OR,Oregon,3565,18059
2010,PA,Pennsylvania,16672,72884
2010,PR,Puerto Rico,1014,
2010,RI,Rhode Island,534,
2010,SC,South Carolina,2677,61809
2010,SD,South Dakota,831,33
2010,TN,Tennessee,2973,
2010,TX,Texas,26136,187210
2010,UT,Utah,1207,95913
2010,VA,Virginia,3764,638
2010,VT,Vermont,316,2810
2010,WA,Washington,5906,198003
2010,WI,Wisconsin,7399,35000
2010,WV,West Virginia,2417,30354
2010,WY,Wyoming,386,
2011,AK,Alaska,280,2366
2011,AL,Alabama,2152,3958
2011,AR,Arkansas,2391,18705
2011,AZ,Arizona,2770,40339
2011,CA,California,34219,181144
2011,CO,Colorado,4012,16346
2011,CT,Connecticut,4569,25712
2011,DC,Dist. of Columbia,672,158
2011,DE,Delaware,1048,4342
2011,FL,Florida,20972,288262
2011,GA,Georgia,8243,34736
2011,HI,Hawaii,519,6515
2011,IA,Iowa,1762,996
2011,ID,Idaho,863,7225
2011,IL,Illinois,9171,233005
2011,IN,Indiana,3828,83050
2011,KS,Kansas,3303,2115
2011,KY,Kentucky,3824,411
2011,LA,Louisiana,3453,13208
2011,MA,Massachusetts,1637,30976
2011,MD,Maryland,11286,579
2011,ME,Maine,888,8901
2011,MI,Michigan,5441,6450
2011,MN,Minnesota,2538,28895
2011,MO,Missouri,3839,23120
2011,MP,N. Mariana Islands,0,12
2011,MS,Mississippi,1130,15126
2011,MT,Montana,1517,137
2011,NC,North Carolina,9437,76114
2011,ND,North Dakota,214,19878
2011,NE,Nebraska,1400,9700
2011,NH,New Hampshire,1092,6644
2011,NJ,New Jersey,8815,40690
2011,NM,New Mexico,741,3987
2011,NV,Nevada,1908,23752
2011,NY,New York,43656,39032
2011,OH,Ohio,5336,144488
2011,OK,Oklahoma,3336,33470
2011,OR,Oregon,3400,15628
2011,PA,Pennsylvania,14651,74032
2011,PR,Puerto Rico,1041,0
2011,RI,Rhode Island,476,0
2011,SC,South Carolina,2650,61500
2011,SD,South Dakota,730,36
2011,TN,Tennessee,4234,0
2011,TX,Texas,24885,171336
2011,UT,Utah,628,91350
2011,VA,Virginia,3568,716
2011,VT,Vermont,577,3254
2011,WA,Washington,5486,158577
2011,WI,Wisconsin,6244,35000
2011,WV,West Virginia,1968,26827
2011,WY,Wyoming,480,0
2012,AK,Alaska,264,3517
2012,AL,Alabama,2296,4366
2012,AR,Arkansas,1954,19605
2012,AZ,Arizona,2152,42280
2012,CA,California,34554,169775
2012,CO,Colorado,3995,15003
2012,CT,Connecticut,4569,25712
2012,DC,Dist. of Columbia,671,247
2012,DE,Delaware,971,6625
2012,FL,Florida,19038,315920
2012,GA,Georgia,8052,49551
2012,HI,Hawaii,514,6225
2012,IA,Iowa,1662,1124
2012,ID,Idaho,780,7107
2012,IL,Illinois,9365,346143
2012,IN,Indiana,3551,110207
2012,KS,Kansas,3086,2717
2012,KY,Kentucky,3907,308
2012,LA,Louisiana,3074,4927
2012,MA,Massachusetts,1286,25957
2012,MD,Maryland,11372,514
2012,ME,Maine,851,8718
2012,MI,Michigan,5207,6411
2012,MN,Minnesota,2576,28764
2012,MO,Missouri,3807,9240
2012,MS,Mississippi,1036,14655
2012,MT,Montana,1399,112
2012,NC,North Carolina,9679,198924
2012,ND,North Dakota,205,20021
2012,NE,Nebraska,1200,10000
2012,NH,New Hampshire,815,6213
2012,NJ,New Jersey,7109,39283
2012,NM,New Mexico,698,3021
2012,NV,Nevada,1922,24752
2012,NY,New York,37273,45215
2012,OH,Ohio,5503,84896
2012,OK,Oklahoma,3692,31407
2012,OR,Oregon,3208,16508
