state,year,line,outcome_category,count,source_type,is_partial_year,notes
FL,2021,all_lines,,25182,idrr,false,"NAIC IDRR Vol 1, data year 2021; complaints received, not closed"
FL,2022,all_lines,,22751,idrr,false,"NAIC IDRR Vol 1, data year 2022; complaints received, not closed"
GA,1998,all_lines,,10611,idrr,false,"NAIC IDRR Vol 1, data year 1998; complaints received, not closed"
GA,1999,all_lines,,11509,idrr,false,"NAIC IDRR Vol 1, data year 1999; complaints received, not closed"
GA,2000,all_lines,,13319,idrr,false,"NAIC IDRR Vol 1, data year 2000; complaints received, not closed"
GA,2001,all_lines,,15725,idrr,false,"NAIC IDRR Vol 1, data year 2001; complaints received, not closed"
GA,2002,all_lines,,20032,idrr,false,"NAIC IDRR Vol 1, data year 2002; complaints received, not closed"
GA,2004,all_lines,,17387,idrr,false,"NAIC IDRR Vol 1, data year 2004; complaints received, not closed"
GA,2005,all_lines,,18254,idrr,false,"NAIC IDRR Vol 1, data year 2005; complaints received, not closed"
GA,2006,all_lines,,13530,idrr,false,"NAIC IDRR Vol 1, data year 2006; complaints received, not closed"
GA,2007,all_lines,,10160,idrr,false,"NAIC IDRR Vol 1, data year 2007; complaints received, not closed"
GA,2008,all_lines,,10079,idrr,false,"NAIC IDRR Vol 1, data year 2008; complaints received, not closed"
GA,2009,all_lines,,10530,idrr,false,"NAIC IDRR Vol 1, data year 2009; complaints received, not closed"
GA,2010,all_lines,,10048,idrr,false,"NAIC IDRR Vol 1, data year 2010; complaints received, not closed"
GA,2011,all_lines,,8243,idrr,false,"NAIC IDRR Vol 1, data year 2011; complaints received, not closed"
GA,2012,all_lines,,8052,idrr,false,"NAIC IDRR Vol 1, data year 2012; complaints received, not closed"
GA,2013,all_lines,,9166,idrr,false,"NAIC IDRR Vol 1, data year 2013; complaints received, not closed"
GA,2014,all_lines,,9718,idrr,false,"NAIC IDRR Vol 1, data year 2014; complaints received, not closed"
GA,2015,all_lines,,11411,idrr,false,"NAIC IDRR Vol 1, data year 2015; complaints received, not closed"
GA,2016,all_lines,,12027,idrr,false,"NAIC IDRR Vol 1, data year 2016; complaints received, not closed"
